date_of_sale,address,location,total_area,rooms,plot_area,closing_price
Såld 3 juli 2019,Ranneberg 200,"Kärna,          Kungälvs kommun",66+63 m²,4,315,2250000
Såld 3 juli 2019,Bergsvägen 15,"Ödsmålsmosse/Rörtången,          Kungälvs kommun",57+4 m²,4,784,1600000
Såld 2 juli 2019,Vitsippegatan 12,"Ytterby,          Kungälvs kommun",179+21 m²,6,535,4650000
Såld 1 juli 2019,Hanekullen 205,"Kareby,          Kungälvs kommun",196+6 m²,6,885,4750000
Såld 28 juni 2019,Dotorp 250,"Kärna,          Kungälvs kommun",126+32 m²,5,449,3825000
Såld 27 juni 2019,Över-Restad 210,"Hålta,          Kungälvs kommun",107+5 m²,5,738,1700000
Såld 26 juni 2019,Hövdingagatan 1,"Komarken,          Kungälvs kommun",163+160 m²,6,30,5200000
Såld 25 juni 2019,Ängsgatan 17,"Centralt,          Kungälvs kommun",102+102 m²,5,574,4620000
Såld 23 juni 2019,Ranneberg 180,"Kärna,          Kungälvs kommun",95+55 m²,5,204,2810000
Såld 20 juni 2019,Bastubäcksvägen 38,"Ödsmålsmosse/Rörtången,          Kungälvs kommun",63+3 m²,3,767,2900000
Såld 20 juni 2019,Enskiftegatan 14,"Ytterby,          Kungälvs kommun",170+73 m²,7,924,5575000
Såld 20 juni 2019,Häljeröd 420,"Romelanda,          Kungälvs kommun",146+62 m²,5,172,3800000
Såld 20 juni 2019,Strömgatan 3,"Ytterby,          Kungälvs kommun",94+47 m²,5,955,4750000
Såld 19 juni 2019,Grindslanten 14,"Grinden,          Kungälvs kommun",112+7 m²,5,,3000000
Såld 19 juni 2019,Skogen 148,"Kareby,          Kungälvs kommun",145+6 m²,6,156,5100000
Såld 15 juni 2019,Norrmannebo 200,"Romelanda,          Kungälvs kommun",127+71 m²,6,500,3200000
Såld 14 juni 2019,Vråstigen 2,"Bohuslän,          Kungälvs kommun",95+35 m²,6,661,3300000
Såld 14 juni 2019,Skårby 590,"Kareby,          Kungälvs kommun",65+10 m²,2,132,2350000
Såld 13 juni 2019,Blåsippegatan 14,"Ytterby,          Kungälvs kommun",201+6 m²,6,833,4000000
Såld 12 juni 2019,Granndalen 19,"Lycke,          Kungälvs kommun",49+4 m²,4,421,1700000
Såld 11 juni 2019,Länsmansvägen 28,"Ytterby,          Kungälvs kommun",127+51 m²,6,862,4707000
Såld 10 juni 2019,Nordön 180,"Tjuvkil,          Kungälvs kommun",80+80 m²,5,587,4850000
Såld 7 juni 2019,Barlinds väg  7,"Marstrand,          Kungälvs kommun",90+5 m²,5,527,4490000
Såld 7 juni 2019,Skårby 985,"Bohuslän,          Kungälvs kommun",165+6 m²,5,655,4750000
Såld 5 juni 2019,Brunskär 510,"Kärna,          Kungälvs kommun",90+15 m²,4,365,4250000
Såld 4 juni 2019,Kastellegårdsvägen 220,"Kastellegården,          Kungälvs kommun",4 m²,4,450,4050000
Såld 3 juni 2019,Stora Ryr 240,"Lycke,          Kungälvs kommun",120+4 m²,4,71,3200000
Såld 3 juni 2019,Svartbrödragatan 6,"Komarken,          Kungälvs kommun",124+70 m²,5,86,5035000
Såld 3 juni 2019,Norgårdsvägen 7,"Tjuvkil,          Kungälvs kommun",102+57 m²,4,808,3200000
Såld 2 juni 2019,Hammarberg 860,"Hammarberg,          Kungälvs kommun",43+3 m²,3,17,760000
Såld 31 maj 2019,Korpedalsvägen 9,"Aröd,          Kungälvs kommun",48+4 m²,4,317,3100000
Såld 30 maj 2019,Kareby kyrkväg 220,"Bohuslän,          Kungälvs kommun",131+95 m²,6,498,4275000
Såld 30 maj 2019,Lilla Fjellsholmen 58,"Lilla Fjellsholmen,          Kungälvs kommun",4 m²,4,431,6100000
Såld 29 maj 2019,Krappvägen 581,"Bohuslän,          Kungälvs kommun",121+6 m²,6,316,5100000
Såld 28 maj 2019,Matskärsvägen 14B,"Tjuvkil,          Kungälvs kommun",145+6 m²,6,331,4500000
Såld 28 maj 2019,Knapegården 126,"Bohuslän,          Kungälvs kommun",143+40 m²,6,842,4900000
Såld 27 maj 2019,Vallby 110,"Solberga-Kode,          Kungälvs kommun",127+14 m²,5,135,5050000
Såld 24 maj 2019,Munkegärdegatan 309,"Munkegärde,          Kungälvs kommun",118+16 m²,4,440,4135000
Såld 21 maj 2019,Berghällsvägen 18,"Timmervik,          Kungälvs kommun",73+4 m²,4,221,2400000
Såld 17 maj 2019,Solskiftegatan 33,"Ytterby,          Kungälvs kommun",166+47 m²,6,773,4600000
Såld 17 maj 2019,Solberga 660,"Solberga-Kode,          Kungälvs kommun",162+5 m²,5,664,5320000
Såld 16 maj 2019,Aspvägen 3,"Ytterby,          Kungälvs kommun",144+92 m²,7,561,5610000
Såld 16 maj 2019,Lagvägen 45,"Ytterby,          Kungälvs kommun",161+5 m²,5,647,4700000
Såld 14 maj 2019,Kareby kyrkväg 260,"Kareby,          Kungälvs kommun",170+58 m²,5,934,3300000
Såld 14 maj 2019,Halltorpsvägen 9,"Kode,          Kungälvs kommun",96+70 m²,5,293,3800000
Såld 13 maj 2019,Akvamarinvägen 6,"Kode,          Kungälvs kommun",98+95 m²,5,780,3000000
Såld 13 maj 2019,Norra Arödsvägen 12,"Bohuslän,          Kungälvs kommun",100+24 m²,3,883,3100000
Såld 12 maj 2019,Storskiftegatan 67,"Ytterby,          Kungälvs kommun",117+49 m²,5,921,5130000
Såld 10 maj 2019,Tegskiftegatan 70,"Ytterby,          Kungälvs kommun",117+117 m²,7,20,5140000
Såld 10 maj 2019,Oskarsberg 130,"Kareby,          Kungälvs kommun",135+16 m²,4,796,3300000
Såld 9 maj 2019,Jägersberg 340,"Bohuslän,          Kungälvs kommun",146+30 m²,5,613,5750000
Såld 8 maj 2019,Kristinedalsgatan 5,"Bohuslän,          Kungälvs kommun",137+67 m²,5,701,6700000
Såld 6 maj 2019,Kyrkeby 290,"Kärna - Harestad,          Kungälvs kommun",146+5 m²,5,580,4510000
Såld 6 maj 2019,Vallvägen 12,"Kareby,          Kungälvs kommun",7 m²,7,819,8345000
Såld 4 maj 2019,Ragnhildsgatan 2,"Centralt,          Kungälvs kommun",115+53 m²,5,775,4100000
Såld 2 maj 2019,Rådalsvägen 25,"Aröd,          Kungälvs kommun",88+4 m²,4,462,2600000
Såld 30 april 2019,Prästbol 120,"Kode,          Kungälvs kommun",98+5 m²,5,380,3400000
Såld 30 april 2019,Hällristningsgatan 12,"Stället,          Kungälvs kommun",107+4 m²,4,560,4450000
Såld 29 april 2019,Ängsgatan 28B,"Centrum,          Kungälvs kommun",84+4 m²,4,136,2800000
Såld 27 april 2019,Ljungvägen  28,"Ödsmålsmosse vid Rörtången,          Kungälvs kommun",85+4 m²,4,388,3300000
Såld 26 april 2019,Kristinedalsgatan 3,"Centrum,          Kungälvs kommun",87+82 m²,5,231,5500000
Såld 24 april 2019,Broberg 120,"Tjuvkil,          Kungälvs kommun",85+18 m²,3,64,3075000
Såld 19 april 2019,Hallbjörtorp 490,"Kärna,          Kungälvs kommun",150+5 m²,5,497,4100000
Såld 19 april 2019,Häljeröd 400,"Romelanda,          Kungälvs kommun",89+89 m²,4,181,2935000
Såld 19 april 2019,Önneröd 174,"Kärna,          Kungälvs kommun",145+5 m²,5,308,4675000
Såld 18 april 2019,Grindvakten 2,"Grinden,          Kungälvs kommun",121+4 m²,4,396,3900000
Såld 18 april 2019,Vältvägen 515,"Ullstorp,          Kungälvs kommun",121+5 m²,5,371,5125000
Såld 17 april 2019,Tolleröd 160,"Kode,          Kungälvs kommun",104+48 m²,5,582,3400000
Såld 15 april 2019,Bokvägen 11,"Fontin,          Kungälvs kommun",112+17 m²,5,600,5325000
Såld 15 april 2019,Hällristningsgatan 22,"Ytterby,          Kungälvs kommun",103+4 m²,4,264,3950000
Såld 14 april 2019,Kuskalundsvägen 5,"Hålta,          Kungälvs kommun",75+20 m²,3,776,2800000
Såld 14 april 2019,Prästbol 185,"Aröd,          Kungälvs kommun",129+4 m²,4,8,5400000
Såld 12 april 2019,Munkholmsgatan 5,"Kungälv,          Kungälvs kommun",117+50 m²,4,759,4550000
Såld 11 april 2019,Plommeröd 160,"Romelanda,          Kungälvs kommun",59+3 m²,3,418,1580000
Såld 11 april 2019,Gunneröd 320,"Kärna Lycke,          Kungälvs kommun",145+5 m²,5,144,3550000
Såld 2 april 2019,Skrivarevägen 48,"Ytterby,          Kungälvs kommun",104+4 m²,4,167,2995000
Såld 1 april 2019,Brunnefjällsvägen  18,"Kärna,          Kungälvs kommun",83+3 m²,3,196,3000000
Såld 1 april 2019,Dannemarksgatan 4,"Tega - Ytterby,          Kungälvs kommun",112+151 m²,6,990,4710000
Såld 31 mars 2019,Alekärr 110,"Diseröd,          Kungälvs kommun",118+149 m²,6,611,3500000
Såld 29 mars 2019,Duvesjön 460,"Duvesjön,          Kungälvs kommun",64+3 m²,3,986,2260000
Såld 25 mars 2019,Solvagnsgatan 22,"Ytterby - Stället,          Kungälvs kommun",139+12 m²,5,370,5000000
Såld 25 mars 2019,Lagvägen 27,"Ytterby,          Kungälvs kommun",110+38 m²,6,692,3810000
Såld 21 mars 2019,Grannebydal 260,"Hålta,          Kungälvs kommun",120+4 m²,4,574,2300000
Såld 17 mars 2019,Solvagnsgatan 32,"Ytterby,          Kungälvs kommun",138+5 m²,5,385,5200000
Såld 15 mars 2019,Hammar 510,"Kode,          Kungälvs kommun",143+140 m²,,324,3900000
Såld 13 mars 2019,Skolstigen 2,"Kungälv,          Kungälvs kommun",150+20 m²,7,80,4570000
Såld 6 mars 2019,Munkegärdegatan 99,"Blodriskan,          Kungälvs kommun",134+25 m²,5,345,4350000
Såld 4 mars 2019,Kyrkeby 220,"Harestad,          Kungälvs kommun",109+4 m²,4,999,4750000
Såld 1 mars 2019,Kulperödsvägen 35,"Bohuslän,          Kungälvs kommun",143+5 m²,5,89,4050000
Såld 28 februari 2019,Tjäderstigen  4,"Kungälv - Centralt,          Kungälvs kommun",126+4 m²,4,362,4285000
Såld 28 februari 2019,Flateby 450,"Harestad,          Kungälvs kommun",163+118 m²,8,351,3630000
Såld 27 februari 2019,Bergkristallvägen 18,"Kode,          Kungälvs kommun",127+6 m²,6,608,4400000
Såld 27 februari 2019,Prästvägen 710,"Romelanda,          Kungälvs kommun",166+20 m²,8,34,4300000
Såld 24 februari 2019,Granndalen 14,"Bohuslän,          Kungälvs kommun",70+54 m²,4,229,2995000
Såld 22 februari 2019,Ranneberg  154,"Kärna,          Kungälvs kommun",165+4 m²,4,381,5200000
Såld 21 februari 2019,Kvarnvägen 22,"Kode,          Kungälvs kommun",68+68 m²,5,318,3570000
Såld 18 februari 2019,Lingonvägen 43,"Centralt,          Kungälvs kommun",126+5 m²,5,383,4050000
Såld 15 februari 2019,Hamngatan 11,"Centralt,          Kungälvs kommun",84+94 m²,3,636,4890000
Såld 14 februari 2019,Rönnvägen  22,"Romelanda,          Kungälvs kommun",108+70 m²,5,823,3375000
Såld 14 februari 2019,Lyckevägen  9,"Kärna,          Kungälvs kommun",190+150 m²,9,284,4300000
Såld 14 februari 2019,Ekvägen 12,"Ytterby,          Kungälvs kommun",125+83 m²,6,770,4000000
Såld 13 februari 2019,Rostock 362,"Bohuslän,          Kungälvs kommun",131+5 m²,5,70,4650000
Såld 12 februari 2019,Tjuvkil 460,"Tjuvkil,          Kungälvs kommun",115+20 m²,4,231,3900000
Såld 11 februari 2019,Sjöhed 310,"Kärna - Harestad,          Kungälvs kommun",103+81 m²,5,208,3700000
Såld 11 februari 2019,Galärgatan 3,"Komarken,          Kungälvs kommun",108+65 m²,4,628,4200000
Såld 8 februari 2019,Bastövägen 4,"Överön - Kärna,          Kungälvs kommun",100+60 m²,6,786,4995000
Såld 7 februari 2019,Furuvägen 1,"Diseröd,          Kungälvs kommun",108+32 m²,5,742,2795000
Såld 7 februari 2019,Prejelvägen 112,"Centrum,          Kungälvs kommun",142+5 m²,5,382,5300000
Såld 4 februari 2019,Hallsbrovägen  14,"Kärna,          Kungälvs kommun",145+61 m²,6,108,3700000
Såld 1 februari 2019,Nämndemansvägen  12,"Ytterby,          Kungälvs kommun",152+6 m²,6,680,3895000
Såld 1 februari 2019,Lyckevägen 3,"Kärna,          Kungälvs kommun",120+72 m²,5,857,3770000
Såld 1 februari 2019,Häradsvägen 24,"Ytterby,          Kungälvs kommun",130+5 m²,5,342,3387500
Såld 30 januari 2019,Backsippegatan  4,"Ytterby - Tornhaga,          Kungälvs kommun",115+5 m²,5,577,3300000
Såld 30 januari 2019,Rishammar 262,"Kareby,          Kungälvs kommun",186+6 m²,6,205,4550000
Såld 27 januari 2019,Vitsippegatan 4,"Ytterby - Tornhaga,          Kungälvs kommun",189+8 m²,8,626,4700000
Såld 24 januari 2019,Galeasgatan 17,"Centrum,          Kungälvs kommun",189+100 m²,6,574,5425000
Såld 22 januari 2019,Vältvägen 509,"Ullstorp,          Kungälvs kommun",105+4 m²,4,319,4550000
Såld 21 januari 2019,Gategården 250,"Hålta,          Kungälvs kommun",140+26 m²,5,500,3990000
Såld 21 januari 2019,Rondan 37,"Ödsmåls mosse/Rörtången,          Kungälvs kommun",80+4 m²,4,617,2850000
Såld 20 januari 2019,Kantorvägen 3,"Diseröd centrum,          Kungälvs kommun",165+14 m²,5,761,4100000
Såld 19 januari 2019,Hemvägen  15,"Romelanda,          Kungälvs kommun",119+19 m²,5,398,3550000
Såld 18 januari 2019,Tvetgatan 43,"Tveten,          Kungälvs kommun",109+5 m²,5,156,3450000
Såld 17 januari 2019,Rörmossevägen  120,"Bohuslän,          Kungälvs kommun",170+81 m²,5,70,4575000
Såld 15 januari 2019,Parkgatan 11,"Bohuslän,          Kungälvs kommun",260+9 m²,9,513,6700000
Såld 11 januari 2019,Kristiansborg 170,"Tjuvkil,          Kungälvs kommun",77+55 m²,6,295,3700000
Såld 8 januari 2019,Vena 328,"Ytterby - Vena,          Kungälvs kommun",125+5 m²,5,520,4100000
Såld 4 januari 2019,Bergkristallvägen 15,"Kode,          Kungälvs kommun",140+6 m²,6,479,4330000
Såld 30 december 2018,Knaverstad-Ryr 590,"Aröd,          Kungälvs kommun",90+3 m²,3,7,3000000
Såld 28 december 2018,Prästvägen 676,"Romelanda,          Kungälvs kommun",222+5 m²,5,329,4150000
Såld 27 december 2018,Ranneberg  154,"Kärna,          Kungälvs kommun",165+4 m²,4,381,5200000
Såld 20 december 2018,Ranneberg 155,"Kärna,          Kungälvs kommun",155+42 m²,,299,4500000
Såld 20 december 2018,Skålldal 140,"Bohuslän,          Kungälvs kommun",266+42 m²,8,36,4300000
Såld 19 december 2018,Mariedalsvägen 1,"Kode,          Kungälvs kommun",63+2 m²,2,432,1825000
Såld 19 december 2018,Mårdgatan 22,"Kungälv Centralt,          Kungälvs kommun",158+6 m²,6,940,5900000
Såld 18 december 2018,Enskiftegatan 5,"Ytterby,          Kungälvs kommun",194+7 m²,7,884,4800000
Såld 18 december 2018,Kvarndalsvägen 8C,"Lökeberg,          Kungälvs kommun",155+5 m²,5,659,7050000
Såld 17 december 2018,Broberg 190,"Tjuvkil,          Kungälvs kommun",67+4 m²,4,755,2000000
Såld 16 december 2018,Källeröd 210,"Kareby,          Kungälvs kommun",121+159 m²,5,455,2550000
Såld 12 december 2018,Alelyckans väg 12,"Aröd,          Kungälvs kommun",154+12 m²,6,392,3950000
Såld 8 december 2018,Kristinedalsgatan 5,"Kungälv,          Kungälvs kommun",152+67 m²,5,701,6650000
Såld 7 december 2018,Bollestad 152,"Ytterby,          Kungälvs kommun",169+74 m²,7,762,4500000
Såld 7 december 2018,Lingonvägen 41,"Jordliden Munkegärde,          Kungälvs kommun",115+5 m²,5,399,4275000
Såld 3 december 2018,Häradsvägen 62,"Ytterby,          Kungälvs kommun",130+7 m²,7,390,3800000
Såld 1 december 2018,Hammar 375,"Bohuslän,          Kungälvs kommun",98+65 m²,6,371,4630000
Såld 29 november 2018,Skogsvägen  20,"Ingetorp,          Kungälvs kommun",101+5 m²,5,318,2715000
Såld 29 november 2018,Harkeröd 310,"Hålta,          Kungälvs kommun",71+59 m²,5,245,3050000
Såld 28 november 2018,Prästbol 165,"Aröd,          Kungälvs kommun",171+6 m²,6,805,5700000
Såld 27 november 2018,Duvesjön 374,"Duvesjön,          Kungälvs kommun",110+4 m²,4,0,3590000
Såld 26 november 2018,Ulvebackegatan 28,"Bohuslän,          Kungälvs kommun",128+32 m²,6,793,4750000
Såld 23 november 2018,Hammar 310,"Bohuslän,          Kungälvs kommun",124+5 m²,5,35,3200000
Såld 23 november 2018,Rostock 364,"Romelanda,          Kungälvs kommun",140+4 m²,5,148,5100000
Såld 23 november 2018,Stenåldersgatan 6,"Ytterby,          Kungälvs kommun",104+4 m²,4,318,3725000
Såld 21 november 2018,Torp 310,"Kareby,          Kungälvs kommun",149+78 m²,6,51,4300000
Såld 21 november 2018,Tyftervägen 20,"Bohuslän,          Kungälvs kommun",154+13 m²,5,572,4300000
Såld 20 november 2018,Harkvägen 357,"Ullstorp,          Kungälvs kommun",111+4 m²,4,572,5000000
Såld 18 november 2018,Grindklykan 27,"Grinden,          Kungälvs kommun",112+4 m²,4,546,4400000
Såld 18 november 2018,Häggvägen 10,"Ytterby,          Kungälvs kommun",101+101 m²,5,851,4170000
Såld 18 november 2018,Hemmansgatan 11,"Tega,          Kungälvs kommun",133+11 m²,5,756,3900000
Såld 14 november 2018,Komministergatan 3,"Kungälv - Centrum,          Kungälvs kommun",120+80 m²,7,678,5950000
Såld 12 november 2018,Djupuddsvägen  30,"Instön,          Kungälvs kommun",135+15 m²,3,336,4800000
Såld 9 november 2018,Staby 130,"Kärna,          Kungälvs kommun",109+82 m²,5,529,4020000
Såld 9 november 2018,Munkegärdegatan 253,"Munkegärde,          Kungälvs kommun",134+110 m²,7,899,5750000
Såld 9 november 2018,Rosenstensvägen 6,"Kode,          Kungälvs kommun",123+5 m²,5,485,3700000
Såld 5 november 2018,Nerebyskogens väg 14,"Kärna - Harestad,          Kungälvs kommun",33+2 m²,2,821,1380000
Såld 1 november 2018,Bergåsvägen 22,"Ytterby,          Kungälvs kommun",153+40 m²,7,710,4500000
Såld 30 oktober 2018,Nordängen 10,"Sundhammar,          Kungälvs kommun",174+16 m²,5,331,4900000
Såld 29 oktober 2018,Apelviksgatan 7,"Centrum,          Kungälvs kommun",125+125 m²,5,445,4750000
Såld 29 oktober 2018,Ranneberg 170,"Romelanda,          Kungälvs kommun",90+4 m²,4,265,1960000
Såld 28 oktober 2018,Vesslegatan 3,"Olseröd,          Kungälvs kommun",131+12 m²,4,376,4500000
Såld 26 oktober 2018,Bärnstensvägen 6,"Kode,          Kungälvs kommun",93+92 m²,5,9,3250000
Såld 26 oktober 2018,Solvagnsgatan 7,"Kungälv,          Kungälvs kommun",137+8 m²,6,362,5175000
Såld 25 oktober 2018,Hallsbrovägen 3,"Bohuslän,          Kungälvs kommun",74+3 m²,3,801,2500000
Såld 24 oktober 2018,Tjäderstigen 8,"Centralt - Kungälv,          Kungälvs kommun",126+4 m²,4,362,4300000
Såld 23 oktober 2018,Tegskiftegatan 50,"Ytterby,          Kungälvs kommun",112+57 m²,5,856,4000000
Såld 22 oktober 2018,Fontinvägen 12,"Centralt - Kungälv,          Kungälvs kommun",231+9 m²,9,269,6600000
Såld 19 oktober 2018,Skårby station 355,"Kareby,          Kungälvs kommun",150+4 m²,4,260,4140000
Såld 18 oktober 2018,Häljeröd 120,"Romelanda Diseröd,          Kungälvs kommun",193+5 m²,5,148,6100000
Såld 17 oktober 2018,Ellesbovägen 204,"Kungälv,          Kungälvs kommun",75+48 m²,5,62,3000000
Såld 15 oktober 2018,Olserödsgatan 106,"Olseröd,          Kungälvs kommun",170+20 m²,5,227,6000000
Såld 12 oktober 2018,Äslingsvägen 7,"Tjuvkil,          Kungälvs kommun",120+5 m²,5,285,4100000
Såld 11 oktober 2018,Åsebyberg 855,"Kode,          Kungälvs kommun",129+18 m²,5,105,3850000
Såld 5 oktober 2018,Solvagnsgatan 30,"Stället,          Kungälvs kommun",138+5 m²,5,479,5275000
Såld 4 oktober 2018,Guntorpsvägen 24,"Kode,          Kungälvs kommun",110+100 m²,5,65,2975000
Såld 3 oktober 2018,Lerlycke 250,"Kärna,          Kungälvs kommun",130+88 m²,5,20,3700000
Såld 2 oktober 2018,Olvonvägen 23,"Diseröd,          Kungälvs kommun",222+98 m²,7,0,3600000
Såld 28 september 2018,Bockebergsvägen 2,"Lycke,          Kungälvs kommun",49+10 m²,4,386,1850000
Såld 27 september 2018,Lerskärsvägen 21,"Tjuvkil,          Kungälvs kommun",120+40 m²,4,299,4700000
Såld 27 september 2018,Valtersäng 35,"Centralt,          Kungälvs kommun",159+40 m²,6,650,6120000
Såld 25 september 2018,Råckeröd 200,"Kärna,          Kungälvs kommun",120+5 m²,5,192,3150000
Såld 25 september 2018,Västra gatan 26A,"Centralt,          Kungälvs kommun",149+21 m²,6,316,5500000
Såld 24 september 2018,Gamla Kungälvsvägen 13,"Ytterby,          Kungälvs kommun",176+87 m²,8,862,6800000
Såld 19 september 2018,Havregången 12,"Kungälv centralt,          Kungälvs kommun",125+5 m²,5,496,4000000
Såld 13 september 2018,Lerskärsvägen 50,"Lycke,          Kungälvs kommun",93+93 m²,5,221,3750000
Såld 11 september 2018,Rubinvägen 6,"Kode,          Kungälvs kommun",108+114 m²,5,123,3650000
Såld 11 september 2018,Bastubäcksvägen 11,"Ödsmåls mosse/Rörtången,          Kungälvs kommun",78+15 m²,3,225,3100000
Såld 10 september 2018,Glose 110,"Glose,          Kungälvs kommun",150+30 m²,5,157,4500000
Såld 9 september 2018,Bokvägen 3,"Kungälv centralt, Fontin.,          Kungälvs kommun",184+128 m²,8,781,5350000
Såld 8 september 2018,Livelycke 290,"Bohuslän,          Kungälvs kommun",163+6 m²,6,941,3820000
Såld 6 september 2018,Lilla Dalvägen 5,"Ödsmålsmosse,          Kungälvs kommun",36+2 m²,2,667,965000
Såld 5 september 2018,Grepvägen 403,"Ullstorp,          Kungälvs kommun",121+5 m²,5,526,5250000
Såld 5 september 2018,Vävra 380,"Hålta,          Kungälvs kommun",49+2 m²,2,514,2260000
Såld 5 september 2018,Stenåldersgatan 11,"Ytterby,          Kungälvs kommun",103+4 m²,4,440,3900000
Såld 4 september 2018,Storskiftegatan 11,"Ytterby,          Kungälvs kommun",90+40 m²,4,188,3375000
Såld 3 september 2018,Vältvägen 505,"Bohuslän,          Kungälvs kommun",121+9 m²,5,250,4800000
Såld 31 augusti 2018,Lilla Fjellsholmen 14,"Lilla Fjellsholmen,          Kungälvs kommun",86+4 m²,4,418,6700000
Såld 30 augusti 2018,Hammarhöjden 695,"Kode,          Kungälvs kommun",83+28 m²,3,53,2750000
Såld 30 augusti 2018,Kärnavägen 16,"Kärna,          Kungälvs kommun",171+83 m²,7,695,4120000
Såld 30 augusti 2018,Klintegatan 17,"Centralt - Kungälv,          Kungälvs kommun",125+51 m²,7,704,7350000
Såld 30 augusti 2018,Stenåldersgatan 53,"Ytterby - Stället,          Kungälvs kommun",107+5 m²,5,381,4050000
Såld 29 augusti 2018,Grepvägen 391,"Ullstorp,          Kungälvs kommun",121+7 m²,5,431,4850000
Såld 29 augusti 2018,Duvesjön 310,"Duvesjön,          Kungälvs kommun",101+4 m²,4,454,2800000
Såld 29 augusti 2018,Torsby 132,"Kärna,          Kungälvs kommun",169+7 m²,7,731,4550000
Såld 25 augusti 2018,Kristinedalsgatan 7,"Centrum,          Kungälvs kommun",178+85 m²,6,857,7125000
Såld 24 augusti 2018,Åsebyberg 745,"Åsebyberg,          Kungälvs kommun",110+4 m²,4,776,1130000
Såld 24 augusti 2018,Korpvägen 259,"KUNGÄLV,          Kungälvs kommun",139+18 m²,6,437,5500000
Såld 17 augusti 2018,Ställets bygata 76,"YTTERBY,          Kungälvs kommun",147+6 m²,6,70,4925000
Såld 15 augusti 2018,Skeppsholmsgatan 2,"Centrum,          Kungälvs kommun",121+5 m²,5,913,6300000
Såld 10 augusti 2018,Jägersberg 244,"Kode,          Kungälvs kommun",120+3 m²,3,3,3850000
Såld 9 augusti 2018,Hammarhöjden 670,"Kode,          Kungälvs kommun",100+47 m²,2,90,3230000
Såld 29 juli 2018,Saltskärsvägen 10,"Tjuvkil,          Kungälvs kommun",64+2 m²,2,440,2300000
Såld 26 juli 2018,Duvesjön 313,"Duvesjön,          Kungälvs kommun",87+3 m²,3,191,3300000
Såld 18 juli 2018,Byvägen 18,"Ödsmåls mosse/Rörtången,          Kungälvs kommun",60+42 m²,4,509,1850000
Såld 17 juli 2018,Guntorpsvägen 2,"Kode,          Kungälvs kommun",129+70 m²,7,734,3150000
Såld 12 juli 2018,Tjuvkil 510,"Tjuvkil,          Kungälvs kommun",90+98 m²,4,575,2550000
Såld 10 juli 2018,Lundby 475,"Kareby,          Kungälvs kommun",141+5 m²,5,24,4680000
Såld 9 juli 2018,Gunneröd 200,"Lycke,          Kungälvs kommun",58+25 m²,2,789,2400000
Såld 7 juli 2018,Bufferöd 150,"Kungälv - Hålta,          Kungälvs kommun",130+130 m²,6,209,4550000
Såld 6 juli 2018,Bäckliden 6A,"Bohuslän,          Kungälvs kommun",116+6 m²,6,880,5710000
Såld 6 juli 2018,Dösebacka 310,"Romelanda,          Kungälvs kommun",102+97 m²,4,949,3450000
Såld 6 juli 2018,Tegskiftegatan 20,"Ytterby,          Kungälvs kommun",102+102 m²,6,969,4525000
Såld 1 juli 2018,Fjällsholmen 360,"KÄRNA,          Kungälvs kommun",62+3 m²,3,780,3110000
Såld 30 juni 2018,Glöskär 640,"Bohuslän,          Kungälvs kommun",72+3 m²,3,456,3800000
Såld 21 juni 2018,Skårby mosse 930,"Kareby,          Kungälvs kommun",167+20 m²,7,299,3800000
Såld 21 juni 2018,Lundby 502,"Kareby,          Kungälvs kommun",137+4 m²,4,214,4550000
Såld 15 juni 2018,Helgonagatan 50,"Munkegärde,          Kungälvs kommun",117+4 m²,4,3,3890000
Såld 15 juni 2018,Heavägen 15,"Lycke,          Kungälvs kommun",177+6 m²,6,41,5000000
Såld 15 juni 2018,Klåverön 460,"Marstrand,          Kungälvs kommun",76+76 m²,4,303,4300000
Såld 14 juni 2018,Dannemarksgatan 42,"Ytterby,          Kungälvs kommun",148+6 m²,6,641,4800000
Såld 13 juni 2018,Dösebacka 630,"Diseröd,          Kungälvs kommun",84+84 m²,4,407,2000000
Såld 13 juni 2018,Bergsgatan 2,"Marstrand - Koön,          Kungälvs kommun",118+82 m²,6,892,8600000
Såld 10 juni 2018,Flateby 120,"Kärna,          Kungälvs kommun",167+6 m²,6,39,3150000
Såld 8 juni 2018,Väktaregatan 9,"Bohuslän,          Kungälvs kommun",166+83 m²,8,538,5300000
Såld 7 juni 2018,Lundby 220,"Kareby,          Kungälvs kommun",146+45 m²,5,943,4650000
Såld 6 juni 2018,Bremnäs 450,"Lycke,          Kungälvs kommun",52+2 m²,2,616,2400000
Såld 5 juni 2018,Skrivarevägen 6,"Tunge,          Kungälvs kommun",104+4 m²,4,162,3400000
Såld 4 juni 2018,Gunneröd 130,"Lycke,          Kungälvs kommun",47+2 m²,2,333,1700000
Såld 3 juni 2018,Bastövägen 12,"Kärna,          Kungälvs kommun",80+80 m²,6,24,4200000
Såld 2 juni 2018,Kuskalundsvägen 39,"Bohuslän,          Kungälvs kommun",59+13 m²,3,745,2270000
Såld 2 juni 2018,Korpedalsvägen 3,"Aröd,          Kungälvs kommun",115+85 m²,5,993,3720000
Såld 1 juni 2018,Nämndemansvägen 13,"Ytterby,          Kungälvs kommun",141+7 m²,7,939,4700000
Såld 31 maj 2018,Knaverstad-Ryr 450,"Kode,          Kungälvs kommun",44+3 m²,3,885,1500000
Såld 31 maj 2018,Fjällsholmen 190,"Marstrand,          Kungälvs kommun",80+4 m²,4,750,5200000
